A̱o,Trimestre,Ingresos (miles de pesos)
2022-01-01,4,72
2022-01-01,3,64
2022-01-01,2,60
2022-01-01,1,55
2021-01-01,4,45
2021-01-01,3,43
2021-01-01,2,38
2021-01-01,1,37
2020-01-01,4,34
2020-01-01,3,32
2020-01-01,2,32
2020-01-01,1,30
2019-01-01,4,24
2019-01-01,3,22
2019-01-01,2,21
2019-01-01,1,20
2018-01-01,4,17
2018-01-01,3,15
2018-01-01,2,14
2018-01-01,1,13
2017-01-01,4,11
2017-01-01,3,10
2017-01-01,2,10
2017-01-01,1,9
2016-01-01,4,7
2016-01-01,3,7
2016-01-01,2,7
2016-01-01,1,6
2015-01-01,4,5
2015-01-01,3,5
2015-01-01,2,5
2015-01-01,1,5
2014-01-01,4,4
2014-01-01,3,3
2014-01-01,2,3
2014-01-01,1,3
