A̱o,Trimestre,Accesos por cada 100 hab
2013-01-01,1,15
2013-01-01,2,16
2013-01-01,3,16
2013-01-01,4,16
2014-01-01,1,15
2014-01-01,2,14
2014-01-01,3,14
2014-01-01,4,14
2015-01-01,1,14
2015-01-01,2,14
2015-01-01,3,14
2015-01-01,4,14
2016-01-01,1,14
2016-01-01,2,14
2016-01-01,3,15
2016-01-01,4,15
2017-01-01,1,14
2017-01-01,2,14
2017-01-01,3,14
2017-01-01,4,14
2018-01-01,1,14
2018-01-01,2,13
2018-01-01,3,13
2018-01-01,4,13
2019-01-01,1,13
2019-01-01,2,13
2019-01-01,3,13
2019-01-01,4,12
2020-01-01,1,12
2020-01-01,2,12
2020-01-01,3,12
2020-01-01,4,12
2021-01-01,1,12
2021-01-01,2,12
2021-01-01,3,13
2021-01-01,4,13
2022-01-01,1,13
2022-01-01,2,13
2022-01-01,3,13
2022-01-01,4,13
