A̱o,Trimestre,Banda ancha fija,Dial up,Total
2022-01-01,4,11,12,11
2022-01-01,3,11,12,11
2022-01-01,2,11,12,11
2022-01-01,1,11,13,11
2021-01-01,4,10,13,10
2021-01-01,3,10,10,10
2021-01-01,2,10,10,10
2021-01-01,1,10,10,10
2020-01-01,4,10,10,10
2020-01-01,3,9,10,9
2020-01-01,2,9,10,9
2020-01-01,1,9,10,9
2019-01-01,4,9,10,9
2019-01-01,3,9,22,9
2019-01-01,2,9,22,9
2019-01-01,1,9,22,9
2018-01-01,4,8,22,8
2018-01-01,3,8,27,8
2018-01-01,2,8,27,8
2018-01-01,1,8,27,8
2017-01-01,4,8,27,8
2017-01-01,3,8,28,8
2017-01-01,2,7,29,7
2017-01-01,1,7,29,7
2016-01-01,4,7,29,7
2016-01-01,3,7,29,7
2016-01-01,2,7,32,7
2016-01-01,1,7,33,7
2015-01-01,4,7,33,7
2015-01-01,3,7,33,7
2015-01-01,2,7,33,7
2015-01-01,1,7,38,7
2014-01-01,4,7,39,7
2014-01-01,3,7,36,7
2014-01-01,2,6,36,6
2014-01-01,1,6,36,6
